Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG02,NA,G2_57,NA,Alstonia angustifolia,NA,WD_twig,0.6472749540722597,1
SG02,NA,G2_7,NA,Xanthophyllum ellipticum,NA,WD_twig,0.5574169143474736,1
SG02,NA,G2_76,NA,Nothaphoebe umbelliblora,NA,WD_twig,0.538169548713623,1
SG02,NA,G4_128,NA,Ficus microcarpa,NA,WD_twig,0.4814975113611772,1
SG02,NA,G4_13,NA,Aporosa lucida,NA,WD_twig,0.5449476174383239,1
SG02,NA,G4_147,NA,Knema laurina,NA,WD_twig,0.4599069512862617,1
SG02,NA,G4_21,NA,Ixonanthes icosandra,NA,WD_twig,0.6239339163037337,1
SG02,NA,G4_37,NA,Timonius wallichianus,NA,WD_twig,0.5090524814748797,1
SG02,NA,G4_4,NA,Heritiera elata,NA,WD_twig,0.693646318985146,1
SG02,NA,G4_5,NA,Baccaurea bracteata,NA,WD_twig,0.5936870382807253,1
SG02,NA,G4_59,NA,Prunus polystachya,NA,WD_twig,0.502314394626974,1
SG02,NA,G4_6,NA,Baccaurea bracteata,NA,WD_twig,0.5770880240162968,1
SG02,NA,G4_66,NA,Litsea elliptica,NA,WD_twig,0.3921598675943237,1
SG02,NA,G4_8,NA,Porterandia anisophylla,NA,WD_twig,0.4765111180707799,1
SG02,NA,G4_86,NA,Lithocarpus ewyckii,NA,WD_twig,0.6179747256401729,1
SG02,NA,G4_90,NA,Elaeocarpus salicifolius,NA,WD_twig,0.43456984913613395,1
SG02,NA,H11_3,NA,Koilodepas longifolium,NA,WD_twig,0.7220600162206002,1
SG02,NA,H11_35,NA,Syzygium ridleyi,NA,WD_twig,0.49901185770750983,1
SG02,NA,H11_37,NA,Streblus elongatus,NA,WD_twig,0.6779494726514596,1
SG02,NA,H11_57,NA,Aquilaria malaccensis,NA,WD_twig,0.3219479201893811,1
SG02,NA,H11_67,NA,Pimelodendron griffithianum,NA,WD_twig,0.4639510570742662,1
SG02,NA,H11_69,NA,Croton oblongus,NA,WD_twig,0.570480928689884,1
SG02,NA,H12_111,NA,Calophyllum tetrapterum,NA,WD_twig,0.5321326024536674,1
SG02,NA,H12_17,NA,Castanopsis wallichii,NA,WD_twig,0.5398416146891863,1
SG02,NA,H12_50,NA,Macaranga heynei,NA,WD_twig,0.4659291663161437,1
SG02,NA,H12_63,NA,Lindera lucida,NA,WD_twig,0.36697995327864397,1
SG02,NA,H13_10,NA,Nephelium maingayi,NA,WD_twig,0.5557334647124029,1
SG02,NA,H13_M.tri1,NA,Macaranga trichocarpa,NA,WD_twig,0.419336051252184,1
SG02,NA,H13_Rattan,NA,Rattan,NA,WD_twig,0.568526868820585,1
SG02,NA,H16_11,NA,Calophyllum teysmannii,NA,WD_twig,0.8183842068558554,1
SG02,NA,H16_42,NA,Diospyros lanceifolia,NA,WD_twig,0.45465116279069767,1
SG02,NA,H16_71,NA,Archidendron clypearia,NA,WD_twig,0.43855902036166883,1
SG02,NA,H18_6,NA,Baccaurea polyneura,NA,WD_twig,0.4820984315846403,1
SG02,NA,H1_12,NA,Elaeocarpus stipularis,NA,WD_twig,0.4762796504369538,1
SG02,NA,H1_2,NA,Rhodamnia cinerea,NA,WD_twig,0.7612708018154312,1
SG02,NA,H1_7 or 9,NA,Prunus polystachya,NA,WD_twig,0.45142857142857146,1
SG02,NA,H1_SVP,NA,Spatholobus ridleyi,NA,WD_twig,0.48697788697788696,1
SG02,NA,H21_14,NA,Horsfieldia polypherula,NA,WD_twig,0.4680629884880453,1
SG02,NA,H21_29,NA,Lindera lucida,NA,WD_twig,0.4083132265847773,1
SG02,NA,H21_Garcinia forbesii,NA,Garcinia forbesii,NA,WD_twig,0.4770304067395025,1
SG02,NA,H23_13,NA,Horsfieldia sucosa,NA,WD_twig,0.40629604164620364,1
SG02,NA,H23_29,NA,Baccaurea macrocarpa,NA,WD_twig,0.5883597111808038,1
SG02,NA,H23_7,NA,Cratoxylum cochinchinense,NA,WD_twig,0.5465242185808128,1
SG02,NA,H23_9,NA,Pternandra echinata,NA,WD_twig,0.4902222222222222,1
SG02,NA,H8_12,NA,Elaeocarpus stipularis,NA,WD_twig,0.4211666666666667,1
SG02,NA,H8_5,NA,Gynotroches axillaris,NA,WD_twig,0.4799285714285715,1
SG02,NA,H8_77,NA,Garcinia parvifolia,NA,WD_twig,0.5291126506024095,1
