ID,species,trait_name,value
CANAPA03,Canarium patentinervium,C,45.8147087097168
CANAPA03,Canarium patentinervium,S,0.090521328151226
CANAPA04,Canarium patentinervium,K,0.533118372719712
CANAPA04,Canarium patentinervium,P,0.07353568444216
CANAPA04,Canarium patentinervium,N,1.89474594593048
CANAPA04,Canarium patentinervium,C,46.9124603271484
CANAPA04,Canarium patentinervium,S,0
DIOSLA01,Diospyros lanceifolia,K,1.19776752243723
DIOSLA01,Diospyros lanceifolia,P,0.0536656227298461
DIOSLA01,Diospyros lanceifolia,N,2.52580499649048
DIOSLA01,Diospyros lanceifolia,C,48.2476921081543
DIOSLA01,Diospyros lanceifolia,S,0.224451795220375
DIOSLA02,Diospyros lanceifolia,K,0.594323573023727
DIOSLA02,Diospyros lanceifolia,P,0.0544773479424979
DIOSLA02,Diospyros lanceifolia,N,1.8840115070343
DIOSLA02,Diospyros lanceifolia,C,49.7310028076172
DIOSLA02,Diospyros lanceifolia,S,0.102161824703217
GLUTWA01,Gluta wallichii,K,0.53075054502173
GLUTWA01,Gluta wallichii,P,0.0636975311552106
GLUTWA01,Gluta wallichii,N,1.83633410930634
GLUTWA01,Gluta wallichii,C,44.5451812744141
GLUTWA01,Gluta wallichii,S,0.105623587965965
GLUTWA02,Gluta wallichii,K,0.461678939368467
GLUTWA02,Gluta wallichii,P,0.0666200623705556
GLUTWA02,Gluta wallichii,N,2.58189058303833
GLUTWA02,Gluta wallichii,C,44.3382301330566
GLUTWA02,Gluta wallichii,S,0.0860150381922722
GLUTWA03,Gluta wallichii,K,0.543993876996232
GLUTWA03,Gluta wallichii,P,0.0763089559571355
GLUTWA03,Gluta wallichii,N,2.37974858283997
GLUTWA03,Gluta wallichii,C,44.1949996948242
GLUTWA03,Gluta wallichii,S,0
BACCSU01,Baccaurea sumatrana,K,0.8322092081523
BACCSU01,Baccaurea sumatrana,P,0.0404917486305706
BACCSU01,Baccaurea sumatrana,N,1.8320072889328
BACCSU01,Baccaurea sumatrana,C,41.2012519836426
BACCSU01,Baccaurea sumatrana,S,0
BACCSU02,Baccaurea sumatrana,K,0.478037290234471
BACCSU02,Baccaurea sumatrana,P,0.0395498531584912
BACCSU02,Baccaurea sumatrana,N,1.8202223777771
BACCSU02,Baccaurea sumatrana,C,41.436695098877
BACCSU02,Baccaurea sumatrana,S,0.0863356813788414
