Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Aglaia multinervis Pannell,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"brown, bright red or yellow",capsule,subglobose or obovoid,NA,y,dense stellate hair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA
Aglaia oligophylla Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,brown or yellow,capsule,subglobose,thin brittle or thick woody,n,dense stellate hair,"translucent, gelatinous, sweet edible, white or brown",NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA
Aglaia palembanica Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,brown or red,capsule,subglobose,thin brittle,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA
Aglaia rubiginosa (Hiern) Pannell,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,capsule,ellipsoid or obovoid,thick,y,NA,complete red,NA,brown testa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA
Aglaia rufinervis (Blume) Bentv.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,brown or orange,capsule,subglobose,NA,n,dense stellate hair,"translucent, sour",NA,dark brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA
Aglaia sexipetala Griff.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,"yellow, reddish-brown or orange-brown",capsule,subglobose or obovoid,2mm thick,n,"dense stellate hair, sometimes white latex",complete transparent or white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA
Aglaia tenuicaulis Hiern,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow or orange-brown,capsule,subglobose or ellipsoid,NA,n,dense stellate hair,"complete translucent, edible sweet",NA,reddish-brown,1.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2.5,1,NA,NA
Pseudoclausena chrysogyne (Miq.) T.P.Clark,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,"coriaceous, weakly laticiferous, high tannin",NA,rusty tomentose,n,ellipsoidal,dark brown,NA,1.3,NA,8,NA,NA,1.8,NA,13,NA,NA,NA,NA,NA,NA
Syzygium accuminatissimum (Blume) DC.,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium flosculiferum (M.R.Hend.) Sreek.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,broadly oblong to oblong obovoid,NA,NA,NA,NA,globose or depressed globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Syzygium glabratum (DC.) Veldekamp,NA,NA,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium incarnatum (Elmer) Merr. & L. M. Perry,NA,NA,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Syzygium myrtifolium Walp.,NA,NA,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Syzygium pseudoformosum (King) Merr. & L. M. Perry,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,oblong globose,NA,NA,medium-sized,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Syzygium singaporense (King) Airy Shaw,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Pellacalyx axillaris Korth.,water (fibrous endocarp or viviparous),insect,simple,NA,berry,subglobose,NA,NA,NA,NA,oblong,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.6,NA,1.5,1
Sarcosperma paniculatum (King) Stapf & King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid,thin,NA,NA,NA,NA,pale dull,1.7,1.5,1,NA,NA,2,1.7,2,NA,NA,NA,NA,NA,NA,NA
Stemonurus malaccensis (Mast.) Sleum.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"pink or pale brown below, pale green upper",drupe,subovoid-oblongoid,NA,NA,NA,NA,NA,NA,4.5,1,NA,NA,NA,5,2.2,NA,NA,NA,NA,NA,1,NA,NA
Salacia chinensis L.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red or orange-red,drupe,globose,NA,NA,NA,NA,globose,NA,NA,1.33,NA,NA,10,NA,2,NA,NA,15,NA,NA,1,NA,NA
Calophyllum biflorum Hend. & Wyatt-Smith,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globular,NA,NA,thick woody stone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.7,1,NA,NA
Alangium salviifolium (L. f.) Wang.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ellipsoid,NA,NA,"thin pulp, tomentose",NA,NA,NA,1.905,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,1.651,NA,NA,NA
Artocarpus anisophyllus Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,1.5,10,NA,NA,NA,NA,NA,NA,NA,NA
Artocarpus dadah Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,green to orange,infructescence,ellipsoid (fru),NA,NA,"pink to red flesh, velutinous",NA,NA,NA,1,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,7,NA,NA,NA
Artocarpus elasticus Reinw. ex Blume,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,ellipsoid to cylindrical (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,0.8,5.5,NA,NA,NA,17,10,NA,NA,NA,NA,NA,NA,NA,NA
Artocarpus fulvicortex Jarrett,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,"subvelutinous, smooth to scabridulous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
Artocarpus gomezianus Wall. ex Trec.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,densely whitish to brownish puberulous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,8,NA,NA,NA
Artocarpus hispidus Jarrett,"ingestion (berries, drupes or aggregate fruits)",insect,simple/compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,1.3,5.5,NA,NA,NA,NA,NA,NA,NA,NA
Artocarpus kemando Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,ellipsoid to subglobose (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2.5,NA,NA,NA
Artocarpus lanceifolius Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1.5,7,NA,NA,NA,NA,NA,NA,NA,NA
Artocarpus lowii King,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,cylindrical (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,3.5,NA,NA,NA
Artocarpus maingayi King,"ingestion (berries, drupes or aggregate fruits)",insect,simple/compound,NA,infructescence,subellipsoid,NA,NA,densely pubescent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,1.27,NA,NA,NA
Artocarpus nitidus ssp. griffithii Trec.| (King) Jarrett,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,subglabrous,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Artocarpus rigidus Blume,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,subglobose (inf); ellipsoid (fru),NA,NA,NA,NA,NA,NA,1.2,4,NA,NA,NA,1.5,9,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros sumatrana Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow,NA,"ellipsoid, globose, ovoid, or rarely obovoid",NA,NA,"flesh pulpy, glabrous to hairy",NA,oblong,NA,1.2,0.9,1,NA,NA,2.4,2.4,4,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus floribundus Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ellipsoid or obovoid,NA,NA,glabrous and firm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.7,1,NA,NA
Litsea erectinervia Kosterm.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,depressed globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1,NA,NA
Memecylon megacarpum Furtado,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,pulpy or juicy,NA,NA,NA,NA,1.6,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,1,NA,NA
Dysoxylum alliaceum (Blume) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,greenish white to red,capsule,subglobose,NA,NA,NA,NA,oblong globose,red testa,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,7.5,NA,NA,NA
Dysoxylum densiflorum (Blume) Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,silky grey-green hairy,capsule,pyriform to fusiform,soft,NA,NA,partial,NA,black testa,NA,NA,2,NA,NA,NA,NA,4,NA,NA,4,2,NA,NA,NA
Dysoxylum flavescens Hiern,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,reddish orange,capsule,depressed-globose,NA,NA,NA,small arilloid hilum,NA,brown to black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
Myristica iners Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,green- or pale yellow,NA,"ellipsoid or ovoid-ellipsoid, subglobose or ellipsoid (field)",(4-)5-10mm,NA,glabrescent,orange to red,ellipsoid,brown or black,3.5,2.5,NA,4,10,8,4.5,NA,50,23,NA,NA,NA,NA,NA
Syzygium maingayi Chantaran. & J.Parn,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,pale green,berry,depressed globose or transversely oblong globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1,NA,NA
Sarcotheca griffithii (Planch. ex Hook. f.) Hall. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,greenish-yellow,NA,ellipsoid,NA,NA,"fleshy, glabrescent, mesocarp glassy, inside yellow",n,flat,reddish,1.8,1,NA,5,2,3.2,2.3,NA,7.5,4,NA,NA,NA,NA,NA
Phyllanthus emblica L.,NA,NA,simple,greenish-yellow,NA,round,NA,n,"firm, juicy, fleshy, sour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA
Diplospora malaccensis Hook. f.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,green turn yellow to orange or red,berry,gllobose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA
Nauclea officinalis (Pierre ex Pitard) Merr. & Chun.,others,bird,simple,brown,fused fruiting heads,globose,NA,n,NA,NA,ovoid,NA,NA,0.8,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Dracaena brachystachys Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dracaena cantleyi Baker,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,NA,NA,NA,NA,as  big as a cherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dracaena singapurensis Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madhuca malaccensis (C. B. Clarke) H. J. Lam,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,NA,ellipsoid,NA,NA,NA,NA,NA,NA,2.032,1.27,1,NA,NA,2.794,2.032,2,NA,NA,NA,NA,NA,22.86,10.16
Tetrastigma curtisii (Ridl.) Seusseng.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium oblatum var. oblatum (Roxb.) Wall. ex A. M. Cowan & Cowan,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,depressed globose or oblong globose,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.75,2,NA,NA,NA
Melanochyla bracteata King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,drupe,subglobose,NA,NA,NA,"hairy, mesocarp and endocarp full of black resin",NA,NA,NA,2,1.5,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA
Polyalthia lateriflora (Blume) Kurz,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,drupaceous carpel?,obovoid-elliptic,NA,NA,NA,NA,NA,NA,3.048,NA,NA,NA,NA,3.556,NA,NA,NA,NA,NA,1.778,NA,NA,NA
Santiria tomentosa Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupaceous,globose or oblong,NA,NA,NA,NA,subglobular,NA,2,1.5,NA,NA,NA,2.7,2,NA,NA,NA,NA,NA,NA,NA,NA
Maranthes corymbosa Blume,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,drupe,ellipsoid,NA,NA,"large fleshy, thin epicarp",NA,NA,NA,3,1.5,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum ferrugineum Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pale brown,drupe,ellipsoid or narrowly ovoid,NA,NA,thick woody stone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA
Calophyllum wallichianum var. incrassatum (Hend. & Wyatt-Smith) P. F. Stevens,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,oblong-globose to ellipsoid,NA,NA,"thick woody stone, wall thick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA
Tacca integrifolia Ker Gawl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"green to black, tinged purple",berry-like,triangular to circular in cross-section,"fleshy, 2mm thick",n,NA,NA,ovoid convex-concave,NA,2.5,1,NA,3.5,1,5,2.5,NA,6,3.5,NA,NA,NA,NA,NA
Alseodaphne intermedia Kostermans,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ellipsoid,NA,NA,warty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.8,NA,NA,NA
Dysoxylum cyrtobotryum Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,orange-red,capsule,globose to fig-shaped,white latex,y,NA,NA,elliptic to suboblong,shiny brown-orange,NA,NA,1,25,15,NA,NA,6,35,20,4,5,NA,NA,NA
Limacia scandens Lour.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obovoid,NA,NA,NA,NA,"horseshoe-shaped, narrow",NA,2,1.6,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA
Tinospora macrocarpa Diels,"ingestion (berries, drupes or aggregate fruits)",insect,simple,ornage-yellow,drupe,ellipsoid,NA,NA,NA,NA,NA,ellipsoid,3.5,1.5,NA,NA,NA,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA
Ficus heteropleura Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pinkish to dark red or orange or yellow,fake fruit (receptacle),(sub)globose,NA,NA,"hispidulous, scabrous",NA,NA,NA,NA,1,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Ficus sagittata Vahl,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow to red to crimson or to purple,fake fruit (receptacle),subglobose,NA,NA,minutely puberulous or glabrous,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mastixia trichotoma var. maingayi Blume | (C. B. Clarke) Danser,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid to ellipsoid,NA,NA,fruit wall thin,NA,ovoid to ellipsoid,NA,2.5,1.5,NA,1.3,0.4,3.5,2,NA,2.9,1.4,NA,NA,NA,NA,NA
Erythropalum scandens Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"yellow, red",drupe,subglobose to ellipsoid,"thin, fleshy",NA,NA,NA,NA,indigo blue,1.5,1.5,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA
Adinandra acuminata Korth.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,globose,NA,NA,glabrous,NA,oval flat,NA,NA,1.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Xanthophyllum rufum Benn.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellowish green,NA,globular,"thick, hard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA
Xanthophyllum vitellinum (Blume) Dietr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"light brown, dark reddish brown",NA,globular,thin,NA,hairy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA
Madhuca motleyana (de Vriese) J. F. Macbr.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3.048,1.778,NA,20.32,7.62
Symplocos barringtonifolia Brand,"ingestion (berries, drupes or aggregate fruits)",insect,simple,royal blue,drupe,ovoid or ellipsoid,NA,NA,chartaceous mesocarp,NA,straight,NA,2.5,1.5,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
Cyathocalyx ramuliflorus (Maingay ex Hook.f. & Thoms.) Scheff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpels,globose,NA,NA,tomentose,NA,"ovoid, plano-convex, flattened",chestnut-colour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,7,NA,NA
Cyathostemma hookeri King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel,oblong or ovoid,NA,NA,blunt glabrescent,NA,oblong,NA,1.905,1.524,NA,NA,NA,4.445,2.286,NA,NA,NA,NA,NA,6,NA,NA
Fissistigma manubriatum (Hook.f. & Thoms.) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berried carpels,ovoid-globose,NA,NA,densely red-woolly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,NA,8,NA,NA
Mitrephora maingayi Hook. f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pale green,carpels,broadly ovoid,NA,NA,densely rusty tomentose,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,2.54,1.905,NA,NA,NA
Polyalthia sclerophylla Hook. f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupaceous carpel?,elliptic-oblong,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calamus laevigatus Mart.,"ingestion (berries, drupes or aggregate fruits)",insect,protected,NA,NA,spherical,NA,NA,"beak short, thick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,1,NA,NA
Parartocarpus bracteatus (King) Becc.,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,conical processes,NA,NA,"firm exocarp, stony endocarp",NA,NA,NA,NA,5,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
Parartocarpus venenosa ssp. forbesii (Zoll. & Moritzi) Becc. |(King) Jarrett,"ingestion (berries, drupes or aggregate fruits)",insect,compound,NA,infructescence,conical processes,NA,NA,"firm exocarp, stony endocarp",NA,NA,NA,NA,5,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
Daemonorops micracantha (Griff.) Becc.,"ingestion (berries, drupes or aggregate fruits)",insect,protected,brownish yellow,NA,oblong-globose,NA,NA,resinous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,NA,NA,NA
Calophyllum soulattri Burm. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark (dry),drupe,globular,NA,NA,thick woody stone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,1,NA,NA
Hernandia nymphaeifolia (C. Presl) Kubitzki,wind (wing-like structures),insect,simple,NA,drupe,ellipsoid,NA,NA,fleshy cupule,NA,NA,NA,2.5,1.5,NA,NA,NA,3,2.3,NA,NA,NA,NA,NA,NA,NA,NA
Phytocrene bracteata Wall.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid-oblongoid,NA,NA,"exocarp thin fleshy, dense long soft yellowish bristles in pendulous globose clusters up to 20cm diameter",NA,NA,NA,4.5,1.5,NA,NA,NA,8,2.3,NA,NA,NA,NA,NA,1,NA,NA
Microcos hirsutus (Korth.) Burret,"ingestion (berries, drupes or aggregate fruits)",insect,simple,apricot-coloured,drupe,flattened obovate ellipsoid,thin,NA,"pulpy, acid",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3.175,NA,NA,NA,NA
Ficus aurata var. aurata Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,fake fruit (receptacle),subglobose to ellipsoid to ovoid,NA,NA,appressed-puberulous to strigillose,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Ficus obscura var. borneensis Blume | (Miq.) Corner,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"white to pink, yellow, orange or to dark red",fake fruit (receptacle),(sub)globose,NA,NA,densely brownish subhirtellous to subhispid to hispidulous,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Mastixia pentandra var. scortechinii Blume |,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green to purple or bluish balck,drupe,ovoid to oblong,NA,NA,fruit wall thick,NA,ovoid,NA,2.25,1.75,NA,9,5,2.5,2,NA,12,8,NA,NA,NA,NA,NA
Strombosia javanica Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green,drupe,ovoid,"thin, fleshy",NA,NA,NA,NA,NA,2,1.5,NA,NA,NA,4,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Xanthophyllum ellipticum Korth.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark reddish,NA,globular,thin,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Morinda rigida Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green,fused as syncarps,subglobose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,NA,NA,NA
Dracaena granulata Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,NA,NA,NA
Cayratia novemfolia (Wall. ex Laws.) Burk.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dull green,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,1.905,NA,NA,NA
Ryparosa scortechinii King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green or white dots,berry (capsular),transverse-oblong,"thin, fragile, velvety black",NA,NA,NA,planoconvex to subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
Mangifera griffithii Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow to rose-red turn blackish,drupe,ellipsoid,NA,NA,"mesocrap fleshy and pale orange-yellow, juicy, sour-sweet, strong smell",NA,NA,NA,2.5,1.5,NA,NA,NA,3.5,2.5,NA,NA,NA,NA,NA,1,NA,NA
Melanochyla caesia (Blume) Ding Hou,"ingestion (berries, drupes or aggregate fruits)",insect,simple,drupe,oblong/ ellipsoid,NA,NA,NA,"smooth, sparsely rusty hairy, mesocarp and endocarp full of black resin",NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA
Cordia subcordata Lam.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green to yellow,drupe (nut),"ovoid, obovoid, subglobose",NA,NA,bony endocarp and corky mesocarp,NA,NA,NA,2,1.5,1,NA,NA,3,2.5,4,NA,NA,NA,NA,NA,NA,NA
Dacryodes longifolia (King) Lam,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ellipsoid,"thick, fleshy",NA,"glabrous, mesocarp membranous",NA,NA,NA,2.5,1.5,NA,NA,NA,3.5,2.5,NA,NA,NA,NA,NA,1,NA,NA
Salacia viminea Wall. ex Laws.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,15
Calophyllum teysmannii Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark grey to black (dry),drupe,subglobose,NA,NA,"thick woody stone, wall thick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2,1,NA,NA
Terminalia belliricia (Gaertn.) Roxb.,wind (wing-like structures),insect,bats,NA,pseudocarp,subglobose to broadly ellipsoid,NA,NA,"exocarp hard, velutinous or sericeous",NA,NA,NA,2,1.8,NA,NA,NA,2.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA
