Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Aporosa microstachya (Tul.) Müll. Arg.,others,insect,dehiscent,NA,NA,NA,NA,n or irregular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aporosa nervosa Hook. f.,others,insect,dehiscent,NA,NA,globose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA
Aporosa nigricans Hook. f.,others,insect,dehiscent,"yellow, black (dry)",NA,globose,NA,y,"glabrous, epicarp thick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Aporosa penangensis (Ridl.) Airy Shaw,others,insect,dehiscent,NA,NA,ellipsoid,NA,irregular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aporosa prainiana King ex Gage,others,insect,dehiscent,"yellow, cream-brown (dry)",NA,oblong-ovoid,NA,NA,"wall thick, smooth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1,NA,NA,NA
Aporosa subcaudata Merr.,others,insect,dehiscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aporosa symplocoides (Hook. f.) Gage,others,insect,dehiscent,"yellow, brown (dry)",NA,ellipsoid,NA,NA,"glabrous, smooth, epicarp thin",NA,oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Baccaurea bracteata Müll. Arg.,others,insect,dehiscent,dark red,capsule,globose,thick coriaceous,y,"firm, fleshy rind, glabrous","juicy, sour, pulpy jacket, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,NA,NA,NA
Baccaurea brevipes Hook. f.,others,insect,dehiscent,white,capsule,globose,NA,n,"firm, fleshy rind,","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA
Baccaurea kunstleri King ex Gage,others,insect,dehiscent,NA,capsule,globose,NA,y,"firm, fleshy rind, pubescent","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,3,NA,NA
Baccaurea macrocarpa (Miq.) Müll. Arg.,others,insect,dehiscent,NA,capsule,NA,NA,NA,"firm, fleshy rind","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baccaurea macrophylla (Müll. Arg.) Müll. Arg.,others,insect,dehiscent,yellow,capsule,NA,NA,irregular,"firm, fleshy rind","juicy, sour, pulpy jacket, orange",flat curved,NA,1.905,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baccaurea maingayi Hook. f.,others,insect,dehiscent,NA,capsule,globose,crustaceous hairy within,NA,"firm, fleshy rind","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.524,NA,NA,NA
Baccaurea minor Hook. f.,others,insect,dehiscent,velvety dark yellow,capsule,subglobose,coriaceous,y,"firm, fleshy rind","juicy, sour, pulpy jacket, red",globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,3,NA,NA
Baccaurea polyneura Hook. f.,others,insect,dehiscent,NA,capsule,ovoid,crustaceous,y,"firm, fleshy rind, nearly glabrous","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA
